fold,accuracy,precision,recall,f1,best_params,model,dataset
1,0.7083333333333334,0.7340425531914894,0.8734177215189873,0.7976878612716763,{'classifier__C': 0.1},Logistic Regression,Raw
2,0.6666666666666666,0.7052631578947368,0.8481012658227848,0.7701149425287356,{'classifier__C': 0.1},Logistic Regression,Raw
3,0.675,0.6923076923076923,0.9113924050632911,0.7868852459016393,{'classifier__C': 0.1},Logistic Regression,Raw
4,0.775,0.776595744680851,0.9240506329113924,0.8439306358381503,{'classifier__C': 0.1},Logistic Regression,Raw
5,0.7666666666666667,0.7628865979381443,0.9367088607594937,0.8409090909090909,{'classifier__C': 0.1},Logistic Regression,Raw
6,0.7166666666666667,0.7272727272727273,0.9113924050632911,0.8089887640449438,{'classifier__C': 0.1},Logistic Regression,Raw
7,0.7416666666666667,0.7608695652173914,0.8860759493670886,0.8187134502923976,{'classifier__C': 0.1},Logistic Regression,Raw
8,0.7416666666666667,0.7608695652173914,0.8860759493670886,0.8187134502923976,{'classifier__C': 0.1},Logistic Regression,Raw
9,0.725,0.73,0.9240506329113924,0.8156424581005587,{'classifier__C': 0.1},Logistic Regression,Raw
10,0.7,0.7216494845360825,0.8860759493670886,0.7954545454545454,{'classifier__C': 10.0},Logistic Regression,Raw
11,0.75,0.7474747474747475,0.9367088607594937,0.8314606741573034,{'classifier__C': 0.1},Logistic Regression,Raw
12,0.7,0.7171717171717171,0.8987341772151899,0.797752808988764,{'classifier__C': 0.1},Logistic Regression,Raw
13,0.8083333333333333,0.8255813953488372,0.8987341772151899,0.8606060606060606,{'classifier__C': 0.1},Logistic Regression,Raw
14,0.7,0.7128712871287128,0.9113924050632911,0.8,{'classifier__C': 1.0},Logistic Regression,Raw
15,0.6583333333333333,0.6979166666666666,0.8481012658227848,0.7657142857142857,{'classifier__C': 0.1},Logistic Regression,Raw
1,0.7333333333333333,0.7422680412371134,0.9113924050632911,0.8181818181818182,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 100}",Random Forest,Raw
2,0.6416666666666667,0.6836734693877551,0.8481012658227848,0.7570621468926554,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",Random Forest,Raw
3,0.7,0.7047619047619048,0.9367088607594937,0.8043478260869565,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",Random Forest,Raw
4,0.7583333333333333,0.7450980392156863,0.9620253164556962,0.8397790055248618,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 100}",Random Forest,Raw
5,0.75,0.7333333333333333,0.9746835443037974,0.8369565217391305,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",Random Forest,Raw
6,0.7083333333333334,0.7037037037037037,0.9620253164556962,0.8128342245989305,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 200}",Random Forest,Raw
7,0.7166666666666667,0.7319587628865979,0.8987341772151899,0.8068181818181818,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",Random Forest,Raw
8,0.7583333333333333,0.7604166666666666,0.9240506329113924,0.8342857142857143,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",Random Forest,Raw
9,0.7333333333333333,0.7281553398058253,0.9493670886075949,0.8241758241758241,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 100}",Random Forest,Raw
10,0.6583333333333333,0.6862745098039216,0.8860759493670886,0.7734806629834254,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",Random Forest,Raw
