model,dataset,metric,mean,std
Logistic Regression,Raw,accuracy,0.7222222222222221,0.04210091177738047
Logistic Regression,Raw,precision,0.7381848601364793,0.03505941229302094
Logistic Regression,Raw,recall,0.8987341772151896,0.027897375444017217
Logistic Regression,Raw,f1,0.81017161827337,0.0267420846468443
Random Forest,Raw,accuracy,0.7150000000000001,0.041571319478392814
Random Forest,Raw,precision,0.7206685906137502,0.027685923249406583
Random Forest,Raw,recall,0.9274261603375525,0.03689441991244569
Random Forest,Raw,f1,0.8107859559343176,0.027331029045137633
Logistic Regression,OntoBK,accuracy,0.7222222222222221,0.04210091177738047
Logistic Regression,OntoBK,precision,0.7381848601364793,0.03505941229302094
Logistic Regression,OntoBK,recall,0.8987341772151896,0.027897375444017217
Logistic Regression,OntoBK,f1,0.81017161827337,0.0267420846468443
Random Forest,OntoBK,accuracy,0.708888888888889,0.04100264541730118
Random Forest,OntoBK,precision,0.7142953564489041,0.026500039217441956
Random Forest,OntoBK,recall,0.930801687763713,0.03543873219346439
Random Forest,OntoBK,f1,0.8080723705052222,0.026838289484553288
